Брэст,224000,Брэсцкая вобласць
Віцебск,210000,Віцебская вобласць
Гомель,246000,Гомельская вобласць
Баранавічы,225320,Брэсцкая вобласць
Бешанковічы,211350,Віцебская вобласць
Брагін,247630,Гомельская вобласць
Бяроза,225210,Брэсцкая вобласць
Браслаў,211970,Віцебская вобласць
Буда-Кашалёва,247350,Гомельская вобласць
Ганцавічы,225440,Брэсцкая вобласць
Верхнядзвінск,211620,Віцебская вобласць
Ветка,247120,Гомельская вобласць
Драгічын,225830,Брэсцкая вобласць
Глыбокае,211800,Віцебская вобласць
Добруш,247050,Гомельская вобласць
Жабінка,225110,Брэсцкая вобласць
Гарадок,211540,Віцебская вобласць
Ельск,247820,Гомельская вобласць
Іванава,225800,Брэсцкая вобласць
Докшыцы,211720,Віцебская вобласць
Жыткавічы,247960,Гомельская вобласць
Івацэвічы,225250,Брэсцкая вобласць
Дуброўна,211040,Віцебская вобласць
Жлобін,247210,Гомельская вобласць
Камянец,225050,Брэсцкая вобласць
Лепель,211180,Віцебская вобласць
Калінкавічы,247710,Гомельская вобласць
Кобрын,225860,Брэсцкая вобласць
Лёзна,211200,Віцебская вобласць
корму,247170,Гомельская вобласць
Лунінец,225650,Брэсцкая вобласць
Мёры,211930,Віцебская вобласць
Лельчыцы,247840,Гомельская вобласць
Ляхавічы,225370,Брэсцкая вобласць
Наваполацк,211440,Віцебская вобласць
Лоеў,247100,Гомельская вобласць
Маларыта,225910,Брэсцкая вобласць
Орша,211030,Віцебская вобласць
Мазыр,247760,Гомельская вобласць
Пінск,225710,Брэсцкая вобласць
Полацк,211400,Віцебская вобласць
Нароўля,247800,Гомельская вобласць
Пружаны,225140,Брэсцкая вобласць
Паставы,211840,Віцебская вобласць
Кастрычніцкі,247300,Гомельская вобласць
Столін,225510,Брэсцкая вобласць
Расоны,211460,Віцебская вобласць
Петрыкаў,247940,Гомельская вобласць
Сянно,211120,Віцебская вобласць
Рэчыца,247500,Гомельская вобласць
Талачын,211070,Віцебская вобласць
Рагачоў,247250,Гомельская вобласць
Ушачы,211480,Віцебская вобласць
Светлагорск,247400,Гомельская вобласць
Чашнікі,211150,Віцебская вобласць
Хойнікі,247600,Гомельская вобласць
Шаркаўшчына,211910,Віцебская вобласць
Чачэрск,247150,Гомельская вобласць
Шуміліна,211260,Віцебская вобласць
Гродна,230000,Гродзенская вобласць
Мінск,220000,Мінская вобласць
Магілёў,212000,Магілёўская вобласць
Бераставіца,231770,Гродзенская вобласць
Мінскі раён,223010,Мінская вобласць
Бялынічы,213160,Магілёўская вобласць
Ваўкавыск,231900,Гродзенская вобласць
Беразіно,223310,Мінская вобласць
Бабруйск,213800,Магілёўская вобласць
Воранава,231370,Гродзенская вобласць
Барысаў,222120,Мінская вобласць
Быхаў,213320,Магілёўская вобласць
Дзятлава,231460,Гродзенская вобласць
Вілейка,222410,Мінская вобласць
Глуск,213860,Магілёўская вобласць
Зэльва,231930,Гродзенская вобласць
Валожын,222340,Мінская вобласць
горкі,213410,Магілёўская вобласць
Іўе,231330,Гродзенская вобласць
Дзяржынск,222720,Мінская вобласць
Дрыбін,213970,Магілёўская вобласць
Карэлічы,231430,Гродзенская вобласць
Жодзіна,222160,Мінская вобласць
Кіраўск,213940,Магілёўская вобласць
Ліда,231300,Гродзенская вобласць
Клецк,222640,Мінская вобласць
Клімавічы,213600,Магілёўская вобласць
масты,231600,Гродзенская вобласць
Капыль,223910,Мінская вобласць
Клічаў,213900,Магілёўская вобласць
Навагрудак,231400,Гродзенская вобласць
Крупкі,222010,Мінская вобласць
Касцюковічы,213640,Магілёўская вобласць
Астравец,231210,Гродзенская вобласць
Лагойск,223110,Мінская вобласць
Краснаполле,213560,Магілёўская вобласць
Ашмяны,231100,Гродзенская вобласць
Любань,223810,Мінская вобласць
Крычаў,213500,Магілёўская вобласць
Свіслач,231960,Гродзенская вобласць
Мар'іна Горка,222810,Мінская вобласць
круглае,213180,Магілёўская вобласць
Слонім,231800,Гродзенская вобласць
Маладзечна,222310,Мінская вобласць
Мсціслаў,213470,Магілёўская вобласць
Смаргонь,231000,Гродзенская вобласць
Мядзел,222380,Мінская вобласць
Асіповічы,213760,Магілёўская вобласць
Шчучын,231510,Гродзенская вобласць
Нясвіж,222620,Мінская вобласць
Слаўгарад,213240,Магілёўская вобласць
Плешчаніцы,223130,Мінская вобласць
Хоцімск,213660,Магілёўская вобласць
Пухавічы,222832,Мінская вобласць
Чавусы,213200,Магілёўская вобласць
Слуцк,223610,Мінская вобласць
Чэрыкаў,213530,Магілёўская вобласць
Смалявічы,222210,Мінская вобласць
Шклоў,213010,Магілёўская вобласць
Салігорск,223710,Мінская вобласць
Старыя Дарогі,222910,Мінская вобласць
Стоўбцы,222660,Мінская вобласць
Узда,223400,Мінская вобласць
Чэрвень,223210,Мінская вобласць